n,m,dist,trial,normal_compress,normal_compress_cpu,normal_decompress,normal_decompress_cpu,safe_partition,safe_partition_cpu,safe_compress,safe_compress_cpu,safe_decompress,safe_decompress_cpu,baseline_cpu
10,100,even,0,0.008766125014517456,44.4,0.00022924999939277768,0.0,0.04266604100121185,0.0,0.0027303329843562096,0.0,0.001229999994393438,0.0,10.9
10,100,even,1,0.005433332989923656,0.0,0.00015675000031478703,0.0,0.04303574998630211,0.0,0.0016960829962044954,0.0,0.0010126249981112778,0.0,24.0
10,100,even,2,0.005467624985612929,0.0,0.00013916598982177675,0.0,0.04323466698406264,0.0,0.0015499580185860395,0.0,0.0009158329921774566,0.0,16.1
10,100,even,3,0.004287791991373524,0.0,0.00013583400868810713,0.0,0.04346670801169239,0.0,0.0015887089830357581,0.0,0.0008968749898485839,0.0,16.8
10,100,even,4,0.003751917014596984,0.0,0.00013500000932253897,0.0,0.04340891700121574,0.0,0.0015774999919813126,0.0,0.000891500007128343,0.0,10.6
10,100,even,5,0.003269500011811033,0.0,0.00013420797768048942,0.0,0.04352441697847098,0.0,0.0018512080132495612,0.0,0.0008924590074457228,0.0,9.4
10,100,even,6,0.0024662920041009784,0.0,0.00013379199663177133,0.0,0.04451287499978207,0.0,0.001870208012405783,0.0,0.0009488330106250942,0.0,9.5
10,100,even,7,0.00241595899569802,0.0,0.00013483301154337823,0.0,0.04533758299658075,0.0,0.0017430000007152557,0.0,0.0009983750060200691,0.0,14.2
10,100,even,8,0.0023927500005811453,0.0,0.00013391600805334747,0.0,0.04546929197385907,0.0,0.0016673749778419733,0.0,0.0010393330012448132,0.0,12.9
10,100,even,9,0.002127207990270108,0.0,0.00013354199472814798,0.0,0.04753295800765045,0.0,0.0016719159903004766,0.0,0.0009224159875884652,0.0,19.2
10,200,even,0,0.014685917005408555,9.1,0.0003461659944150597,0.0,0.08638862500083633,0.0,0.004160875017987564,0.0,0.0015638750046491623,0.0,16.5
10,200,even,1,0.0077875419810879976,12.5,0.00024233301519416273,0.0,0.08697662499616854,0.0,0.0028434159758035094,33.3,0.0014867080026306212,0.0,10.5
10,200,even,2,0.006808124977396801,16.7,0.00020241702441126108,0.0,0.08705008297692984,0.0,0.0027872500068042427,0.0,0.0014828330022282898,0.0,7.5
10,200,even,3,0.005558541015489027,0.0,0.0002097910037264228,0.0,0.08734008399187587,0.0,0.0027430420159362257,0.0,0.0014559999981429428,0.0,11.9
10,200,even,4,0.00469283398706466,16.7,0.0002083329891320318,0.0,0.08735179199720733,0.0,0.0027382920088712126,33.3,0.001452958007575944,0.0,10.2
10,200,even,5,0.004399708006531,33.3,0.00020683297771029174,0.0,0.08844812499592081,0.0,0.0027380420069675893,25.0,0.0014577090041711926,0.0,12.8
10,200,even,6,0.004017500003101304,50.0,0.00021004199516028166,0.0,0.0876902500167489,0.0,0.002725250000366941,0.0,0.0014409169962164015,0.0,11.4
10,200,even,7,0.0037619160139001906,0.0,0.00020520799444057047,0.0,0.08791691699298099,0.0,0.0028106670069973916,0.0,0.0014490419998764992,0.0,4.0
10,200,even,8,0.0034529170079622418,0.0,0.00020504201529547572,0.0,0.08762337500229478,0.0,0.0027119999867863953,0.0,0.0014547909959219396,0.0,3.5
10,200,even,9,0.003253750008298084,0.0,0.0002050829934887588,0.0,0.08749224999337457,15.1,0.0027161659963894635,0.0,0.001465542009100318,0.0,2.8
10,300,even,0,0.012667625007452443,18.2,0.0003476249985396862,0.0,0.12876704198424704,12.2,0.004458290990442038,25.0,0.0025982089864555746,0.0,18.5
10,300,even,1,0.01225895798415877,20.0,0.0002665830252226442,0.0,0.12923779198899865,14.3,0.004198125010589138,0.0,0.0024240000057034194,0.0,2.7
10,300,even,2,0.010195457987720147,0.0,0.00024829100584611297,0.0,0.12969687499571592,12.6,0.004257916996721178,33.3,0.002410624991171062,0.0,2.7
10,300,even,3,0.007928541977889836,0.0,0.00026170798810198903,0.0,0.13001058300142176,14.2,0.004138415999477729,0.0,0.00238266697851941,0.0,1.5
10,300,even,4,0.006926250003743917,0.0,0.00023833400337025523,0.0,0.1301325420208741,14.4,0.004579875007038936,0.0,0.0023791249841451645,0.0,1.9
10,300,even,5,0.005648791004205123,0.0,0.00025058299070224166,0.0,0.1301419580122456,13.3,0.004826749995118007,0.0,0.0023561670095659792,0.0,1.6
10,300,even,6,0.005320750002283603,0.0,0.0002364999963901937,0.0,0.1304414159967564,13.6,0.005328208004357293,0.0,0.0024285420076921582,0.0,2.9
10,300,even,7,0.004949833994032815,0.0,0.00024479199782945216,0.0,0.13032916697557084,13.6,0.00531224999576807,0.0,0.0024130000092554837,0.0,1.8
10,300,even,8,0.004447083018021658,0.0,0.00022566699772141874,0.0,0.13150645801215433,17.0,0.005281541991280392,0.0,0.00225800002226606,0.0,2.1
