n,m,dist,trial,normal_compress,normal_compress_cpu,normal_decompress,normal_decompress_cpu,safe_partition,safe_partition_cpu,safe_compress,safe_compress_cpu,safe_decompress,safe_decompress_cpu,baseline_cpu
100,10000,even,0,0.09593620797386393,11.8,0.003935999993700534,0.0,0.0902062079985626,0.0,0.05951587497838773,0.0,0.02342837501782924,11.8,16.5
100,10000,even,1,0.053010125004220754,14.6,0.0035978749801870435,0.0,0.09067525001592003,0.0,0.056583583005703986,0.0,0.02281937500811182,11.1,11.7
100,10000,even,2,0.052772291004657745,18.6,0.0035849169944413006,0.0,0.09077433298807591,15.3,0.05622716699144803,0.0,0.022785249981097877,15.8,10.6
100,10000,even,3,0.05500749999191612,11.1,0.003527833992848173,0.0,0.09095108299516141,12.7,0.0564883750048466,0.0,0.022788166999816895,11.8,13.2
100,10000,even,4,0.05218645898276009,11.9,0.003536582982633263,0.0,0.09082233399385586,12.5,0.056288624997250736,0.0,0.022794916993007064,11.8,9.9
100,10000,even,5,0.05238862498663366,0.0,0.003497500001685694,0.0,0.09122883301461115,12.0,0.05635912501020357,0.0,0.02286091700079851,0.0,7.1
100,10000,even,6,0.05278429199825041,0.0,0.003479208011412993,0.0,0.09130591599387117,0.0,0.05746245902264491,14.0,0.022855334013001993,0.0,8.9
100,10000,even,7,0.05239650001749396,0.0,0.0034984159865416586,0.0,0.09153329199762084,0.0,0.05605254098190926,14.6,0.022789708978962153,0.0,3.0
100,10000,even,8,0.05308750001131557,0.0,0.003475499979685992,0.0,0.09198429199750535,0.0,0.057351916999323294,14.3,0.0226758329954464,0.0,2.9
100,10000,even,9,0.05237316698185168,0.0,0.003480375016806647,0.0,0.09179812498041429,0.0,0.055998958996497095,14.6,0.022756207996280864,0.0,4.8
100,50000,even,0,0.2785570839769207,12.7,0.01796537500922568,0.0,0.41277341698878445,13.9,0.33569550001993775,14.1,0.10790733297471888,0.0,8.4
100,50000,even,1,0.24604704199009575,14.1,0.01690879202215001,0.0,0.4144057499943301,0.0,0.3348470829951111,12.5,0.1070049999980256,0.0,3.9
100,50000,even,2,0.24688758299453184,13.3,0.016735540993977338,0.0,0.4125875830068253,13.2,0.33596533301169984,14.0,0.10803791697253473,0.0,8.2
100,50000,even,3,0.24946395799634047,13.0,0.016822833014884964,0.0,0.4167428750079125,13.2,0.3396575410151854,14.5,0.10760020901216194,13.6,8.5
100,50000,even,4,0.24725016599404626,14.4,0.016884958022274077,0.0,0.41565958299906924,12.4,0.3354765420081094,14.4,0.10728520798147656,11.6,4.5
100,50000,even,5,0.24925362499197945,14.7,0.016724957997212186,0.0,0.4129756659967825,14.2,0.33724983301362954,14.4,0.10744508399511687,15.1,3.2
